name,id,year,type,georef,check,manifest_url,Internet Archive ID,Note,For Internet Archive: https://iiif.archive.org/iiif/[:id]/manifest.json
Saigon (1799),345bc0cddf2918a1,1799,Planning,TRUE,TRUE,https://iiif.archive.org/iiif/01.-1799/manifest.json,01.-1799,Another version at BnF https://gallica.bnf.fr/iiif/ark:/12148/btv1b53225310n/manifest.json,
Plan de la rivière de Saïgon (1791),968f893b78382b84,1791,Natural/Environment,TRUE,TRUE,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53225307c/manifest.json,,,
Tran Van Hoc's Map (1815),d8b6b70df6c3e74d,1815,Other,TRUE,TRUE,https://iiif.archive.org/iiif/1815_20250815/manifest.json,1815_20250815,,
Coffyn's Plan (1862),30cc5cb4e8fd54f8,1862,Planning,TRUE,TRUE,https://iiif.archive.org/iiif/03.-1862/manifest.json,03.-1862,,
Saigon Port Plan (1863),a9af4a762d4eb9e5,1863,Planning,TRUE,TRUE,https://iiif.archive.org/iiif/1863_20250730/manifest.json,1863_20250730,,
Saigon Port Plan (1864),2acaca3a9c54681c,1864,Planning,TRUE,TRUE,https://gallica.bnf.fr/iiif/ark:/12148/btv1b84391461/manifest.json,,https://gallica.bnf.fr/ark:/12148/btv1b84391461?rk=193134;0,
Plan de la Ville de Saigon (1878),b8a452dfbc8eeee2,1878,Planning,TRUE,TRUE,https://gallica.bnf.fr/iiif/ark:/12148/btv1b84924617/manifest.json,,,
Saigon & Surroundings (1882) ,e48932ebe94f01ce,1882,Administrative,TRUE,TRUE,https://iiif.archive.org/iiif/1882_20250725/manifest.json,1882_20250725,,
Saigon Plan (1882),654dd627a3241cfe,1882,Planning,TRUE,TRUE,https://iiif.archive.org/iiif/1882-sg/manifest.json,1882-sg,https://gallica.bnf.fr/ark:/12148/btv1b52508901z?rk=107296;4,
Plan des environs de Saïgon (1895),5aeb8bdd53bb9e91,1895,Natural/Environment,TRUE,TRUE,https://gallica.bnf.fr/iiif/ark:/12148/btv1b530291797/manifest.json,,,
Saigon Plan (1898),ed90c4244dbb9361,1898,Planning,TRUE,TRUE,https://gallica.bnf.fr/iiif/ark:/12148/btv1b530297676/manifest.json,,https://gallica.bnf.fr/ark:/12148/btv1b530297676?rk=85837;2,
Environs de Saïgon (1900),23c6501af40bc12d,1900,Natural/Environment,TRUE,TRUE,https://iiif.archive.org/iiif/1900_20250828/manifest.json,1900_20250828,https://gallica.bnf.fr/ark:/12148/btv1b531670876?rk=42918;4,
Saigon - Cholon et Environs (1912),0e41cf9e297d7004,1912,Natural/Environment,TRUE,TRUE,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53075544f/manifest.json,,,
Carte routière des environs de Saïgon (1922),6d1d193821218ec4,1922,Natural/Environment,TRUE,TRUE,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53064703f/manifest.json,,,
Saigon - Cholon (1923),061a18dda9835b42,1923,Planning,TRUE,TRUE,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53065091z/manifest.json,,,
Plan topographique de la province de Giadinh (1930),b2dffd0b8180605a,1930,Administrative,TRUE,TRUE,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53213326r/manifest.json,,,
Plan de Saigon - Cho Lon (1942),8b2e8a938709bed2,1942,Planning,TRUE,TRUE,https://iiif.archive.org/iiif/sg1942/manifest.json,sg1942,"CL: https://gallica.bnf.fr/ark:/12148/btv1b53189369q?rk=21459;2
SG: https://gallica.bnf.fr/ark:/12148/btv1b53197000p?rk=472105;2",
Đô thành Sài Gòn (1959),41d2bb1245d1a03e,1959,Planning,TRUE,TRUE,https://iiif.archive.org/iiif/1959-sg/manifest.json,1959-sg,,
Saigon Map (1968),02c3e822b63e16b4,1968,Natural/Environment,TRUE,TRUE,https://iiif.archive.org/iiif/1968-sg/manifest.json,1968-sg,,
Ho Chi Minh City (1984),5b4716284a4ef676,1984,Natural/Environment,TRUE,TRUE,https://iiif.archive.org/iiif/1984-sg/manifest.json,1984-sg,,